frame.number,frame.time_relative,ip.src,ip.dst,udp.length,udp.srcport,udp.dstport,dns.flags.response,dns.flags.rcode,dns.qry.name,dns.qry.name.len,dns.count.labels,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.resp.name,dns.resp.len,dns.resp.ttl
672,141.339086000,172.16.249.68,59.37.116.141,103,53,30329,1,0,ba8Lb8C4ffDKPkQg-FWd3UeTlLm5W.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQg-FWd3UeTlLm5W.dns2tcp.leaflove.cn,16,30
673,142.218605000,175.155.120.140,172.16.249.68,98,4321,53,0,,ba8Lb8C4ffDKPkQqZFHv67dZwOFjS.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
674,142.219050000,172.16.249.68,175.155.120.140,103,53,4321,1,0,ba8Lb8C4ffDKPkQqZFHv67dZwOFjS.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQqZFHv67dZwOFjS.dns2tcp.leaflove.cn,16,30
675,143.007475000,175.155.120.140,172.16.249.68,98,31479,53,0,,ba8Lb8C4ffDKPkQbw45hXXgHZrUpA.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
676,143.007882000,172.16.249.68,175.155.120.140,103,53,31479,1,0,ba8Lb8C4ffDKPkQbw45hXXgHZrUpA.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQbw45hXXgHZrUpA.dns2tcp.leaflove.cn,16,30
677,143.816595000,182.140.186.142,172.16.249.68,98,43895,53,0,,ba8Lb8C4ffDKPkQfwc1aWLkXOvh7i.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
678,143.816965000,172.16.249.68,182.140.186.142,103,53,43895,1,0,ba8Lb8C4ffDKPkQfwc1aWLkXOvh7i.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQfwc1aWLkXOvh7i.dns2tcp.leaflove.cn,16,30
679,144.518472000,175.155.120.140,172.16.249.68,98,12634,53,0,,ba8Lb8C4ffDKPkQp-9v9OJbkxqMtV.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
680,144.518827000,172.16.249.68,175.155.120.140,103,53,12634,1,0,ba8Lb8C4ffDKPkQp-9v9OJbkxqMtV.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,1,0,0,ba8Lb8C4ffDKPkQp-9v9OJbkxqMtV.dns2tcp.leaflove.cn,16,30
681,145.249253000,59.37.116.141,172.16.249.68,98,56424,53,0,,ba8Lb8C4ffDKPkQqrACtA7b51gJ9J.dns2tcp.leaflove.cn,49,4,16,0x00000001,1,0,0,1,<Root>,12,
