frame.number,frame.time_relative,ip.src,ip.dst,udp.length,udp.srcport,udp.dstport,dns.flags.response,dns.flags.rcode,dns.qry.name,dns.qry.name.len,dns.count.labels,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.resp.name,dns.resp.len,dns.resp.ttl
1628,26846.068099000,192.168.1.1,192.168.1.247,91,53,59592,1,0,ocsp.digicert.com,17,3,1,0x00000001,1,2,0,0,ocsp.digicert.com,20,15376
1629,26849.722462000,192.168.1.247,192.168.1.1,51,62257,53,0,,fpdownload.macromedia.com,25,3,1,0x00000001,1,0,0,0,,,
1630,26849.725273000,192.168.1.1,192.168.1.247,155,53,62257,1,0,fpdownload.macromedia.com,25,3,1,0x00000001,1,3,0,0,fpdownload.macromedia.com,39,20
1631,26856.047782000,192.168.1.247,192.168.1.1,43,60289,53,0,,crl3.digicert.com,17,3,1,0x00000001,1,0,0,0,,,
1632,26856.052013000,192.168.1.1,192.168.1.247,91,53,60289,1,0,crl3.digicert.com,17,3,1,0x00000001,1,2,0,0,crl3.digicert.com,20,15559
1633,26856.926519000,192.168.1.247,8.8.8.8,39,60290,53,0,,wg.dz.163.com,13,4,1,0x00000001,1,0,0,0,,,
1634,26856.969212000,8.8.8.8,192.168.1.247,55,53,60290,1,0,wg.dz.163.com,13,4,1,0x00000001,1,1,0,0,wg.dz.163.com,4,17512
1635,26892.849606000,192.168.1.247,192.168.1.1,48,56469,53,0,,2.android.pool.ntp.org,22,5,1,0x00000001,1,0,0,0,,,
1636,26892.853120000,192.168.1.1,192.168.1.247,112,53,56469,1,0,2.android.pool.ntp.org,22,5,1,0x00000001,1,4,0,0,2.android.pool.ntp.org,4,94
1637,26906.758222000,192.168.1.247,192.168.1.1,43,60573,53,0,,cdn.bluestacks.cn,17,3,1,0x00000001,1,0,0,0,,,
1638,26906.761697000,192.168.1.1,192.168.1.247,346,53,60573,1,0,cdn.bluestacks.cn,17,3,1,0x00000001,1,17,0,0,cdn.bluestacks.cn,35,505
1639,26906.788418000,192.168.1.247,192.168.1.1,43,58023,53,0,,eb.bluestacks.com,17,3,1,0x00000001,1,0,0,0,,,
1640,26906.795125000,192.168.1.1,192.168.1.247,135,53,58023,1,0,eb.bluestacks.com,17,3,1,0x00000001,1,3,0,0,eb.bluestacks.com,48,60
1641,26932.206134000,192.168.1.247,192.168.1.1,57,56540,53,0,,line3-realtime-api.biligame.net,31,3,1,0x00000001,1,0,0,0,,,
1642,26932.209767000,192.168.1.1,192.168.1.247,278,53,56540,1,0,line3-realtime-api.biligame.net,31,3,1,0x00000001,1,10,0,0,line3-realtime-api.biligame.net,47,37
1643,26934.045950000,192.168.1.247,192.168.1.1,45,58059,53,0,,clients4.google.com,19,3,1,0x00000001,1,0,0,0,,,
