frame.number,frame.time_relative,ip.src,ip.dst,udp.length,udp.srcport,udp.dstport,dns.flags.response,dns.flags.rcode,dns.qry.name,dns.qry.name.len,dns.count.labels,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.auth_rr,dns.count.add_rr,dns.resp.name,dns.resp.len,dns.resp.ttl
73,6.654221000,192.168.1.168,8.129.131.148,88,57340,53,0,,d-U-hJazlOYkU1K2hpRVp5VzFxeVQ0aHY5dFVqU3R5ODRkS3JYNmRVWjJM.com,62,2,1,0x00000001,1,0,0,0,,,
74,6.692080000,8.129.131.148,192.168.1.168,88,53,57340,1,0,d-U-hJazlOYkU1K2hpRVp5VzFxeVQ0aHY5dFVqU3R5ODRkS3JYNmRVWjJM.com,62,2,1,0x00000001,1,0,0,0,,,
75,6.692558000,192.168.1.168,8.129.131.148,88,57341,53,0,,dzRuMW5WZFk0WEU2d2s1MnNFZ2Z0M0kzUFYrdUY4Z1BrMVJnTjFXaGo4TG.com,62,2,1,0x00000001,1,0,0,0,,,
76,6.731885000,8.129.131.148,192.168.1.168,88,53,57341,1,0,dzRuMW5WZFk0WEU2d2s1MnNFZ2Z0M0kzUFYrdUY4Z1BrMVJnTjFXaGo4TG.com,62,2,1,0x00000001,1,0,0,0,,,
77,6.732366000,192.168.1.168,8.129.131.148,88,57342,53,0,,djNk9qMlUxQStZdTNheFh0OVRPMmdGbWxHQmRZeGdrMVFmOFVxSVJzbkwz.com,62,2,1,0x00000001,1,0,0,0,,,
78,6.773886000,8.129.131.148,192.168.1.168,88,53,57342,1,0,djNk9qMlUxQStZdTNheFh0OVRPMmdGbWxHQmRZeGdrMVFmOFVxSVJzbkwz.com,62,2,1,0x00000001,1,0,0,0,,,
79,6.774354000,192.168.1.168,8.129.131.148,88,57343,53,0,,NXZsZTdjMmQyZVpzRVZVSnM3eU9HR0hlMytqUWd2MlA0UUUxN0ZicGthTl.com,62,2,1,0x00000001,1,0,0,0,,,
80,6.810845000,8.129.131.148,192.168.1.168,88,53,57343,1,0,NXZsZTdjMmQyZVpzRVZVSnM3eU9HR0hlMytqUWd2MlA0UUUxN0ZicGthTl.com,62,2,1,0x00000001,1,0,0,0,,,
81,6.811619000,192.168.1.168,8.129.131.148,88,57344,53,0,,JWWWdnWi9UMGIrOXgwVDEzaktiWExoOUROZDR1TjVZUUNJT3hhaHZNRDAy.com,62,2,1,0x00000001,1,0,0,0,,,
82,6.851687000,8.129.131.148,192.168.1.168,88,53,57344,1,0,JWWWdnWi9UMGIrOXgwVDEzaktiWExoOUROZDR1TjVZUUNJT3hhaHZNRDAy.com,62,2,1,0x00000001,1,0,0,0,,,
83,6.852236000,192.168.1.168,8.129.131.148,88,57345,53,0,,dnUvVkNOR0hZOFlIZVFTNWpUZWtvbFErek9VM0RIajRkZVpNWnA1TXBsMk.com,62,2,1,0x00000001,1,0,0,0,,,
